    PID TTY          TIME CMD
   1281 ?        00:00:01 atom
   1347 ?        00:00:00 gnome-keyring-d
   1375 ?        00:00:02 konsole
   1384 pts/1    00:00:00 bash
   1387 ?        00:00:00 kworker/2:1-ata_sff
   1914 ?        00:00:02 konsole
   1921 pts/2    00:00:00 bash
   1990 ?        00:00:00 kworker/2:2-mm_percpu_wq
   1995 pts/1    00:00:00 09Codigo_server
   1996 pts/2    00:00:00 09Codigo_client
   1997 pts/1    00:00:00 sh
   1998 pts/1    00:00:00 ps
